Date,ACI,ACTspCount,ACTspFract,ACTspMean,ACTtCount,ACTtFraction,ACTtMean,ADI,AEI,AGI,AUDIO_KURT,AUDIO_MEAN,AUDIO_SKEW,AUDIO_VAR,AnthroEnergy,BGNf,BGNt,BI,BioEnergy,EAS,ECU,ECV,ENRf,EPS,EPS_KURT,EPS_SKEW,EVNspCount,EVNspFract,EVNspMean,EVNtCount,EVNtFraction,EVNtMean,HFC,H_GiniSimpson,H_Havrda,H_Renyi,H_gamma,H_pairedShannon,Hf,Ht,LEQf,LEQt,LFC,MED,MFC,NBPEAKS,NDSI,RAOQ,ROIcover,ROItotal,ROU,SNRf,SNRt,SPEC_KURT,SPEC_MEAN,SPEC_SKEW,SPEC_VAR,TFSD,ZCR,file,rBA
,294.51054941484654,86.609375,0.20235835280373832,5.385613901347115,57.0,0.13286713286713286,4.643901176782839,0.0,0.875,0.0005859624653128273,3.1597991150593123,-6.8430110063259645e-19,-0.006216508452021653,5.628629710152668e-06,7.767932674605228e-06,-56.9038574486781,-46.91463976304162,11.403209483326105,4.733695215291987e-05,0.0029754840406359673,0.20611191398519402,0.08198920584433644,-53.773703905996115,1.0,130.91040649962895,10.507823637411265,0.1006293911007026,0.011476891063084112,0.049978682933228394,3.614193925233645,0.13053613053613053,0.0362020202020202,0.19130507343124162,0.978621584394139,0.33288147262342876,3.301762150442071,58068.397567088745,6.249835798620561,0.331508138943058,0.9671836228749865,39.22629609400389,40.52462670059752,0.23993023561932333,0.004510949984463778,0.19853644242928964,4.0,0.7180673655731836,0.9571141366008692,0.8679541471962617,5.0,0.002151850077159429,3.130153542681988,0.8594350468373051,123.56615678514002,2.7356282875830958e-05,10.36656645256467,7.443062355408523e-09,0.17876294614327073,1421.0,../data/indices/S4A03895_20190522_000000.wav,6.093893206318961
,295.3827829378121,88.552734375,0.2068989120911215,5.853447359524947,75.0,0.17482517482517482,4.4804676000068095,0.0,0.0,0.00046700196787914823,3.113723221297929,1.5048568451964622e-18,-0.053732284155338705,3.4651944995001687e-06,7.592353386617918e-06,-60.860642237275556,-49.75751943719101,12.607654886405445,4.7101176305247625e-05,0.02087012487580575,0.8467030684249803,0.3802960858132488,-58.5740023275378,1.0,343.9986276200336,17.450118072930493,0.0878541754336212,0.010112441588785047,0.05557402597402597,4.517742406542056,0.17249417249417248,0.038270707070707066,0.21293391188250999,0.9887650002738122,0.33313986946366675,3.7259037471650003,69844.29749745679,6.71481692604778,0.35259107924965527,0.9642940148507093,34.425997672462195,38.41787607675206,0.231966565749638,0.003251801508123226,0.1983282440393572,5.0,0.7223674014315037,1.0174475179818676,0.2573744158878505,3.0,0.0005906193004216914,2.286639909737758,0.9675699165762808,200.1281659788548,2.171417779830064e-05,13.23914104930486,2.2407450346162888e-09,0.289259546605017,1868.9,,6.203765012870307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../data/indices/S4A03895_20190522_001500.wav,
,296.61774160118364,87.203125,0.2037456191588785,5.250639881372726,59.0,0.13752913752913754,4.235168729821023,0.0,0.0,0.000534575769435033,3.023834418195928,4.4408920985006264e-20,0.10293288696254467,3.884009979067308e-06,7.825901052805283e-06,-58.16549858240106,-48.42886412315252,12.817922772069775,4.751463438159873e-05,0.001130055938625918,0.042119647513395586,0.019185291053571696,-56.00907371719402,1.0,83.72270422931358,7.47240328074404,0.09394697059792156,0.009637850467289719,0.05082748917748918,4.216559579439252,0.1351981351981352,0.03213852813852813,0.19048731642189587,0.983893360640522,0.3330280299868449,3.497796204151862,63901.621889406735,6.48317178753641,0.3389325089681991,0.9712305690748918,36.99092628280598,38.9134032838481,0.22943267079110172,0.0037892808393998577,0.20362573640541623,2.0,0.7171729188604817,0.9902836211180753,0.18070969626168223,2.0,0.0012008763171061144,2.156424865207036,0.7537456712110497,141.93651627119968,2.4365419097670787e-05,11.164219218837314,4.302115071515512e-09,0.21669338640773914,1699.6000000000001,,6.071458616840878
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../data/indices/S4A03895_20190522_003000.wav,
,295.5011340124846,83.666015625,0.19548134491822428,5.211324498991473,42.0,0.0979020979020979,4.041160575225804,0.0,0.875,0.0006914661942645868,3.0248616960524553,-5.187769405975732e-19,0.06433537709346832,8.45557486385692e-06,7.698319329758702e-06,-54.16230771750976,-44.66545572568593,16.440279196593934,4.721388586926809e-05,0.0010689087660777918,0.04392183088900181,0.02570323389286555,-51.739037939469235,1.0,156.1228571805409,10.812974956697369,0.08588875763868561,0.009053738317757009,0.047824265381083565,3.413405373831776,0.09790209790209789,0.028748663101604278,0.19424232309746325,0.9744947284460812,0.3328324708927072,3.2502833877604456,51691.50963468558,6.000753462776903,0.3605598454759684,0.9758260161639476,41.260962060530765,42.29203130371595,0.20712123206528893,0.005844228848544034,0.1929305080040714,3.0,0.7196135430417885,0.8886052625283275,0.2870363609813084,4.0,0.003503588123809673,2.4232697780405275,0.6021309816723672,81.32034194578908,3.165651963329567e-05,8.535394297754754,1.2084447195377766e-08,0.1358503978346017,1165.8,,6.1330121350978
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../data/indices/S4A03895_20190522_004500.wav,
,295.60306070328465,87.4765625,0.2043844918224299,5.207609322980405,55.0,0.1282051282051282,4.51275149991922,0.0,0.0,0.000448319888416045,3.038860099682092,1.7198363945102426e-18,-0.19842332130157728,2.5793568544389776e-06,7.732618729150346e-06,-61.88441196136991,-50.77735223989993,10.303731368998976,4.7171522326548454e-05,0.001099676222715229,0.02820780829013181,0.009538248891181489,-59.83208956817866,1.0,400.9187851675679,18.915775553133752,0.08746109187463409,0.009309287383177569,0.04867727272727272,3.313011098130841,0.12587412587412586,0.038082644628099176,0.20211949265687582,0.9907208539121635,0.33319074544659255,3.878469855320418,72287.3763490685,6.804269524151415,0.3787802629635286,0.9687277231533105,33.167910431821326,37.13571422334627,0.19757799131236015,0.0028915611960671148,0.2068489559236297,4.0,0.7183229322791588,1.020867503664929,0.013690128504672897,2.0,0.00042023193113707524,2.052322393191254,0.8616883351581635,216.07984223258336,2.067147918819892e-05,13.776314637419526,1.6028070147775856e-09,0.3292322064214258,2047.9,,6.100329523389242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../data/indices/S4A03895_20190522_010000.wav,
,295.2876579307401,87.24609375,0.20384601343457942,5.259514452322803,64.0,0.14918414918414918,4.41796886849753,0.0,0.0,0.000446726547887995,2.994118588761236,5.258419962088242e-19,-0.06680334762649202,2.090144542570799e-06,7.742115719942199e-06,-62.45636689549622,-51.41050638873375,11.275509043204742,4.759309070175102e-05,0.0017537052797698127,0.04918378333744855,0.01410015298134959,-60.39654467312551,1.0,411.6078978972387,19.46114435264543,0.09689509729032496,0.01027672313084112,0.05149168258212376,4.216559579439252,0.14685314685314685,0.034909090909090904,0.2098798397863818,0.9917482372310144,0.3332189263644967,3.9885681379007143,73118.54829002243,6.841610834422357,0.40589982806969815,0.9687478785021891,32.603455326874496,36.2223631182672,0.21682901145188888,0.0026882811112837364,0.19800437987724004,4.0,0.7201739644398604,1.0218751067924496,0.048828125,6.0,0.000369014615409154,2.0598222223707054,0.8981273475996048,215.84704718222378,2.0541371563945368e-05,13.71954332016283,1.3607410009644571e-09,0.3220791928816258,2303.8,,6.147297770189663
